date,text,hash_tags
2020-09-12,Only thing you've made in USA is 200K dead Americans with 200K more due by New Years from  8645&GOP113201,['#TrumpVirus']
2020-09-12,"       Why in the HELL ARE DEMOCRATS WHO BROKE THE LAW LIED TO CONGRESS, WIPED PHONES CLEAN, TREASON, EXTORTIONECT. NOT BE CHARGED WITH CRIMES AND PUT IN JAIL. SICK OF THIS MESS.11",
2020-09-12,"You said you didn't want to panic ppl about COVID-19 but you don't mind stoking the flames of fear, hatred, panic over scary ol' Antifa, POC moving into suburbs. Talking out of both sides of your mouth isn't working for you.1",
2020-09-12,Great! Kevin W.This act of kindness deserves to be shared !!!15.124.8,
2020-09-12,You’reNOTa politician! What’s going on in America needs to be SOLVED! Politicians argue and go home on vacation!YOU ARE a businessman and you KNOW the people are falling apart. GET THEM MONEY! Executive Order something. The People are sayin we need green ,['#KAG20202']
2020-09-12,"When you attack & punish democratic governors in democratic states, you’re also punishing the citizens of those states. All American citizens of those states with mixed political affiliations; republican, Democrat, independent. You’re a pathetic, small, poor excuse of a man.1",
2020-09-12,"Your the worst president EVER, third world countries have had  better president's than you. Resign already and let us get on with our lives!1",
2020-09-12,Jesus you shoveling the bullshit deep here even for you trump.... careful trump you might cause that panic you claimed you try to prevent n is why you LIED ABOUT COVID-19115,
2020-09-12, Has tried all he could but he must find the funds somewhere else by EO! The Dems will drag this out until after the election! Henry RodgersJust Now: EVERY Democrat in the Senate voted to block the passage of a coronavirus stimulus package after months of stalled negotiations between Democrats and Republicans. Read more here: https://dailycaller.com/2020/09/10/senate-democrats-block-coronavirus-stimulus-package/…11,
2020-09-12, again this is why I support you  MAGA133,['#Trump2020']
2020-09-12," please sign an executive order instituting the Death Penalty for arson immediately, before our entire state burns down!2",
2020-09-13,They just don’t get it! https://twitter.com/KenWebsterII/status/1305147262025203712…    .7.41.25,
2020-09-13,Just landed in Nevada but while on Air Force One watched most vicious TV commercial I have ever seen. Pathetic Joe’s people placed an unsourced ad where they have me saying unthinkable things about soldiers while standing over their graves. It is a MADE UP LIE. A TOTAL CON JOB!3.5414.7,
2020-09-13,The world loves you Mr. President!16,
2020-09-13, SMOKE COMPROMISES THE LUNGS AND COVID LOVES YOU AS ITS HERO!    ,['#TrumpKillsForVotes2']
2020-09-13,Has Biden had anything like this?  Hard to do in Mama's basement19125,
2020-09-13,Clearly demonstrates no demand for these signs elsewhere.13,
2020-09-13,Looks like tombstones!2,
2020-09-13,BIDEN HAS BEEN PUT TO BED BY NOW LOL23,
2020-09-13," I was privileged to attend a Trump rally.Uplifting, positive message for America. Unleashed enthusiasm because you are the People’s President; our President.Lord Jesus, give America your protection, and by your grace, 4 more years with President Trump. Amen. Donald J. TrumpON MY WAY — SEE YOU SOON!131",
2020-09-13,"Where’s the book burning at tonight, sir?5",
2020-09-13,I'm in PA Today I recv'd 4 mail in ballot requests in my mailbox. Only 2 people in the household. I'm getting emails about it too.98,
